chapter,question,image,rightOption,option,option,option
Cap.10 Software Modeling,per cosa sta UML?,,Unified Modeling Language,Unity Model Label,Unified Motherboard Language,Use Modeling Language
Cap.10 Software Modeling,di che categoria fa parte lo Use case Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte il Class Diagram?,,Structure/Static Diagram,Behavior/Dynamic Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte lo State Machine Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte lo Sequence Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,di che categoria fa parte lo Activity Diagram?,,Behavior/Dynamic Diagram,Structure/Static Diagram,Package Diagram,Profile Diagram
Cap.10 Software Modeling,cosa sono i casi díuso?,,descrivono le funzionalit‡ che deve svolgere il sistema,l’intero sistema,sono coloro che intereagiscono con il sistema,non fanno parte dello Use case
Cap.10 Software Modeling,chi sono gli attori?,,sono coloro che intereagiscono con il sistema,l’intero sistema,descrivono le funzionalit‡ che deve svolgere il sistema,non fanno parte dello Use case
Cap.10 Software Modeling,"un meccanico fa un servizio all’auto, durante tale servizo, potrebbe essere necassario interrompere il cambio",images/useCaseDiagram1.jpg,A,B,C,D
Cap.10 Software Modeling,un unomo ed una donna vanno a fare una passeggiata,images/useCaseDiagram2.jpg,A,B,C,D
Cap.10 Software Modeling,"madre e figlia preparano una cena inseme, a volte è necessario che uno di loro prenda l’erba cipollina nell’orto",images/useCaseDiagram3.jpg,D,A,B,C
Cap.10 Software Modeling,quale combinazione di attori comunica con use case K?,images/useCaseDiagram4.jpg,C,A,B,D
Cap.10 Software Modeling,quale combinazioni di attori NON comunica con lo use case E,images/useCaseDiagram5.jpg,B,A,C,D
Cap.10 Software Modeling,l’ASSOCIAZIONE nel Class Diagram è una generalizzazione dell’Aggregazione e della Composizione,images/classDiagram1.jpg,VERO,FALSO,,
Cap.10 Software Modeling,"nella AGGREGAZIONE seguente, se elimino B anche A viene eliminato",images/classDiagram2.jpg,FALSO,VERO,,
Cap.10 Software Modeling,"nella COMPOSIZIONE seguente, se elimino B anche A viene eliminato",images/classDiagram3.jpg,VERO,FALSO,,
Cap.10 Software Modeling,qual è il valore di x dopo l’avvenimento degli eventi e4 e2 e4  e1?,images/stateMachineDiagram1.jpg,e4=3     e2=7     e4=8     e1=5,e4=3     e2=10     e4=6     e1=8,e4=5     e2=7     e4=10     e1=8,e4=3     e2=7     e4=8     e1=6
